nodesData,years,storage_techs,unitsBuild,unitsUpperLimit,noExpansion
NEL,2035,lifeTime,0.0,3000.0,1
NEL,2040,Battery,0.0,30.0,0
NEL,2040,levelUpperLimit,0.0,3000.0,1
NEL,2040,lifeTime,0.0,3000.0,1
NEL,2045,Battery,0.0,30.0,0
NEL,2045,levelUpperLimit,0.0,3000.0,1
NEL,2045,lifeTime,0.0,3000.0,1
NEL,2050,Battery,0.0,30.0,0
NEL,2050,levelUpperLimit,0.0,3000.0,1
NEL,2050,lifeTime,0.0,3000.0,1
NIS,2020,Battery,0.0,30.0,1
NIS,2025,Battery,0.0,30.0,0
NIS,2030,Battery,0.0,30.0,0
NIS,2035,Battery,0.0,30.0,0
NIS,2040,Battery,0.0,30.0,0
NIS,2045,Battery,0.0,30.0,0
NIS,2050,Battery,0.0,30.0,0
OTG,2000,levelUpperLimit,729.5595,3000.0,1
OTG,2000,lifeTime,729.5595,3000.0,1
OTG,2020,Battery,0.0,30.0,1
OTG,2020,levelUpperLimit,0.0,3000.0,1
OTG,2020,lifeTime,0.0,3000.0,1
OTG,2025,Battery,0.0,30.0,0
OTG,2025,levelUpperLimit,0.0,3000.0,1
OTG,2025,lifeTime,0.0,3000.0,1
OTG,2030,Battery,0.0,30.0,0
OTG,2030,levelUpperLimit,0.0,3000.0,1
OTG,2030,lifeTime,0.0,3000.0,1
OTG,2035,Battery,0.0,30.0,0
OTG,2035,levelUpperLimit,0.0,3000.0,1
OTG,2035,lifeTime,0.0,3000.0,1
OTG,2040,Battery,0.0,30.0,0
OTG,2040,levelUpperLimit,0.0,3000.0,1
OTG,2040,lifeTime,0.0,3000.0,1
OTG,2045,Battery,0.0,30.0,0
OTG,2045,levelUpperLimit,0.0,3000.0,1
OTG,2045,lifeTime,0.0,3000.0,1
OTG,2050,Battery,0.0,30.0,0
OTG,2050,levelUpperLimit,0.0,3000.0,1
OTG,2050,lifeTime,0.0,3000.0,1
TRN,2020,Battery,0.0,30.0,1
TRN,2025,Battery,0.0,30.0,0
TRN,2030,Battery,0.0,30.0,0
TRN,2035,Battery,0.0,30.0,0
TRN,2040,Battery,0.0,30.0,0
TRN,2045,Battery,0.0,30.0,0
TRN,2050,Battery,0.0,30.0,0
WEL,2020,Battery,0.0,30.0,1
WEL,2025,Battery,0.0,30.0,0
WEL,2030,Battery,0.0,30.0,0
WEL,2035,Battery,0.0,30.0,0
WEL,2040,Battery,0.0,30.0,0
WEL,2045,Battery,0.0,30.0,0
WEL,2050,Battery,0.0,30.0,0
WTO,2000,levelUpperLimit,587.1371,3000.0,1
WTO,2000,lifeTime,587.1371,3000.0,1
WTO,2020,Battery,0.0,30.0,1
WTO,2020,levelUpperLimit,0.0,3000.0,1
WTO,2020,lifeTime,0.0,3000.0,1
WTO,2025,Battery,0.0,30.0,0
WTO,2025,levelUpperLimit,0.0,3000.0,1
WTO,2025,lifeTime,0.0,3000.0,1
WTO,2030,Battery,0.0,30.0,0
WTO,2030,levelUpperLimit,0.0,3000.0,1
WTO,2030,lifeTime,0.0,3000.0,1
WTO,2035,Battery,0.0,30.0,0
WTO,2035,levelUpperLimit,0.0,3000.0,1
WTO,2035,lifeTime,0.0,3000.0,1
WTO,2040,Battery,0.0,30.0,0
WTO,2040,levelUpperLimit,0.0,3000.0,1
WTO,2040,lifeTime,0.0,3000.0,1
WTO,2045,Battery,0.0,30.0,0
WTO,2045,levelUpperLimit,0.0,3000.0,1
WTO,2045,lifeTime,0.0,3000.0,1
WTO,2050,Battery,0.0,30.0,0
WTO,2050,levelUpperLimit,0.0,3000.0,1
WTO,2050,lifeTime,0.0,3000.0,1
