Scenario,Sector,Fuel,Region,2020,2025,2030,2035,2040,2045,2050
BIO,Transport,Biofuel (gas),AKL,0.0,0.0,0.0,0.51,2.54,9.84,25.51
BIO,Transport,Biofuel (gas),BOP,0.0,0.0,0.0,0.84,4.18,16.21,42.01
BIO,Transport,Biofuel (gas),CAN,0.0,0.0,0.0,0.26,1.27,4.93,12.78
BIO,Transport,Biofuel (gas),CEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIO,Transport,Biofuel (gas),GIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIO,Transport,Biofuel (gas),HBY,0.0,0.0,0.0,0.16,0.79,3.05,7.9
BIO,Transport,Biofuel (gas),NEL,0.0,0.0,0.0,0.03,0.17,0.67,1.74
BIO,Transport,Biofuel (gas),NIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIO,Transport,Biofuel (gas),OTG,0.0,0.0,0.0,0.14,0.69,2.67,6.93
BIO,Transport,Biofuel (gas),TRN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIO,Transport,Biofuel (gas),WEL,0.0,0.0,0.0,0.06,0.31,1.19,3.09
BIO,Transport,Biofuel (gas),WTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIO,Transport,E-fuel (LF),AKL,0.0,0.0,227.59,1165.75,1849.06,1929.16,1908.52
BIO,Transport,E-fuel (LF),BOP,0.0,0.0,59.23,326.89,598.76,740.27,775.15
BIO,Transport,E-fuel (LF),CAN,0.0,0.0,120.68,626.73,1027.75,1120.61,1133.93
BIO,Transport,E-fuel (LF),CEN,0.0,0.0,39.02,197.95,309.05,314.83,309.0
BIO,Transport,E-fuel (LF),GIS,0.0,0.0,8.04,43.05,75.45,89.2,94.29
BIO,Transport,E-fuel (LF),HBY,0.0,0.0,29.71,158.53,274.7,320.36,332.37
BIO,Transport,E-fuel (LF),NEL,0.0,0.0,35.23,194.55,360.59,452.55,490.23
BIO,Transport,E-fuel (LF),NIS,0.0,0.0,27.17,134.69,199.03,186.09,173.54
BIO,Transport,E-fuel (LF),OTG,0.0,0.0,60.65,313.95,511.36,552.59,556.22
BIO,Transport,E-fuel (LF),TRN,0.0,0.0,19.86,102.84,167.87,181.87,184.56
BIO,Transport,E-fuel (LF),WEL,0.0,0.0,71.69,387.08,685.6,821.22,872.79
BIO,Transport,E-fuel (LF),WTO,0.0,0.0,70.29,352.99,537.61,527.89,507.65
BIO,Transport,E-fuel (gas),AKL,0.0,0.0,0.0,1.53,6.89,23.63,59.52
BIO,Transport,E-fuel (gas),BOP,0.0,0.0,0.0,2.52,11.34,38.91,98.02
BIO,Transport,E-fuel (gas),CAN,0.0,0.0,0.0,0.77,3.45,11.83,29.81
BIO,Transport,E-fuel (gas),CEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIO,Transport,E-fuel (gas),GIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIO,Transport,E-fuel (gas),HBY,0.0,0.0,0.0,0.47,2.13,7.32,18.44
BIO,Transport,E-fuel (gas),NEL,0.0,0.0,0.0,0.1,0.47,1.61,4.05
BIO,Transport,E-fuel (gas),NIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
