nodesData,years,converter_techs,unitsBuild,unitsUpperLimit
BOP,2025,wind_offshore_foundation,0.0,5.5911800000000005
BOP,2025,wind_onshore,0.0,11.39598
BOP,2026,BIO,0.0,100.0
BOP,2026,COAL,0.0,100.0
BOP,2026,DIE,0.0,100.0
BOP,2026,geoth,0.0,280.0
BOP,2027,BIO,0.0,100.0
BOP,2027,COAL,0.0,100.0
BOP,2027,DIE,0.0,100.0
BOP,2027,geoth,0.0,280.0
BOP,2028,BIO,0.0,100.0
BOP,2028,COAL,0.0,100.0
BOP,2028,DIE,0.0,100.0
BOP,2028,geoth,0.0,280.0
BOP,2029,BIO,0.0,100.0
BOP,2029,COAL,0.0,100.0
BOP,2029,DIE,0.0,100.0
BOP,2029,geoth,0.0,280.0
BOP,2030,BIO,0.0,100.0
BOP,2030,Battery,0.0,50.0
BOP,2030,COAL,0.0,100.0
BOP,2030,DIE,0.0,100.0
BOP,2030,geoth,0.0,280.0
BOP,2030,pv_central_fixed,0.0,237.96793
BOP,2030,pv_central_track_azimuth,0.0,237.94020999999998
BOP,2030,pv_decentral,0.0,0.56348
BOP,2030,wind_offshore_floating,0.0,21.897479999999998
BOP,2030,wind_offshore_foundation,0.0,5.5911800000000005
BOP,2030,wind_onshore,0.0,11.39598
BOP,2031,BIO,0.0,100.0
BOP,2031,COAL,0.0,100.0
BOP,2031,DIE,0.0,100.0
BOP,2031,geoth,0.0,280.0
BOP,2032,BIO,0.0,100.0
BOP,2032,COAL,0.0,100.0
BOP,2032,DIE,0.0,100.0
BOP,2032,geoth,0.0,280.0
BOP,2033,BIO,0.0,100.0
BOP,2033,COAL,0.0,100.0
BOP,2033,DIE,0.0,100.0
BOP,2033,geoth,0.0,280.0
BOP,2034,BIO,0.0,100.0
BOP,2034,COAL,0.0,100.0
BOP,2034,DIE,0.0,100.0
