nodesData,years,converter_techs,unitsBuild,unitsUpperLimit,noExpansion
BOP,2030,wind_offshore_floating,0.0,21.897479999999998,0
BOP,2030,wind_offshore_foundation,0.0,5.5911800000000005,0
BOP,2030,wind_onshore,0.0,11.39598,0
BOP,2035,BIO,0.0,100.0,0
BOP,2035,CCGT,0.0,100.0,0
BOP,2035,COAL,0.0,100.0,0
BOP,2035,DIE,0.0,100.0,0
BOP,2035,Electrolyser,0.0,100.0,0
BOP,2035,GT,0.0,100.0,0
BOP,2035,H2_CCGT,0.0,100.0,0
BOP,2035,H2_FC,0.0,100.0,0
BOP,2035,H2_storage,0.0,50.0,0
BOP,2035,Hydro,0.0,inf,1
BOP,2035,OCGT,0.0,100.0,0
BOP,2035,geoth,0.0,100.0,1
BOP,2035,pv_central_fixed,0.0,237.96793,0
BOP,2035,pv_central_track_azimuth,0.0,237.94020999999998,0
BOP,2035,pv_decentral,0.0,0.56348,0
BOP,2035,wind_offshore_floating,0.0,21.897479999999998,0
BOP,2035,wind_offshore_foundation,0.0,5.5911800000000005,0
BOP,2035,wind_onshore,0.0,11.39598,0
BOP,2040,BIO,0.0,100.0,0
BOP,2040,Battery,0.0,50.0,0
BOP,2040,CCGT,0.0,100.0,0
BOP,2040,COAL,0.0,100.0,0
BOP,2040,DIE,0.0,100.0,0
BOP,2040,Electrolyser,0.0,100.0,0
BOP,2040,GT,0.0,100.0,0
BOP,2040,H2_CCGT,0.0,100.0,0
BOP,2040,H2_FC,0.0,100.0,0
BOP,2040,Hydro,0.0,inf,1
BOP,2040,OCGT,0.0,100.0,0
BOP,2040,geoth,0.0,100.0,1
BOP,2040,pv_central_fixed,0.0,237.96793,0
BOP,2040,pv_central_track_azimuth,0.0,237.94020999999998,0
BOP,2040,pv_decentral,0.0,0.56348,0
BOP,2040,wind_offshore_floating,0.0,21.897479999999998,0
BOP,2040,wind_offshore_foundation,0.0,5.5911800000000005,0
BOP,2040,wind_onshore,0.0,11.39598,0
BOP,2045,BIO,0.0,100.0,0
BOP,2045,CCGT,0.0,100.0,0
BOP,2045,COAL,0.0,100.0,0
BOP,2045,DIE,0.0,100.0,0
BOP,2045,Electrolyser,0.0,100.0,0
BOP,2045,GT,0.0,100.0,0
BOP,2045,H2_CCGT,0.0,100.0,0
BOP,2045,H2_FC,0.0,100.0,0
BOP,2045,Hydro,0.0,inf,1
BOP,2045,OCGT,0.0,100.0,0
BOP,2045,geoth,0.0,100.0,1
BOP,2045,pv_central_fixed,0.0,237.96793,0
BOP,2045,pv_central_track_azimuth,0.0,237.94020999999998,0
BOP,2045,pv_decentral,0.0,0.56348,0
BOP,2045,wind_offshore_floating,0.0,21.897479999999998,0
BOP,2045,wind_offshore_foundation,0.0,5.5911800000000005,0
BOP,2045,wind_onshore,0.0,11.39598,0
BOP,2050,BIO,0.0,100.0,0
BOP,2050,Battery,0.0,50.0,0
BOP,2050,CCGT,0.0,100.0,0
BOP,2050,COAL,0.0,100.0,0
BOP,2050,DIE,0.0,100.0,0
BOP,2050,Electrolyser,0.0,100.0,0
BOP,2050,GT,0.0,100.0,0
BOP,2050,H2_CCGT,0.0,100.0,0
BOP,2050,H2_FC,0.0,100.0,0
BOP,2050,H2_storage,0.0,50.0,0
BOP,2050,Hydro,0.0,inf,1
BOP,2050,OCGT,0.0,100.0,0
BOP,2050,geoth,0.0,100.0,1
BOP,2050,pv_central_fixed,0.0,237.96793,0
BOP,2050,pv_central_track_azimuth,0.0,237.94020999999998,0
BOP,2050,pv_decentral,0.0,0.56348,0
BOP,2050,wind_offshore_floating,0.0,21.897479999999998,0
BOP,2050,wind_offshore_foundation,0.0,5.5911800000000005,0
BOP,2050,wind_onshore,0.0,11.39598,0
CAN,1996,BIO,0.0032,inf,0
CAN,2000,Hydro,1.82683,inf,1
CAN,2003,wind_onshore,0.0005,inf,0
CAN,2005,wind_onshore,0.0001,inf,0
CAN,2020,BIO,0.0,100.0,1
CAN,2020,Battery,0.0,50.0,0
CAN,2020,CCGT,0.0,100.0,1
CAN,2020,COAL,0.0,100.0,1
CAN,2020,DIE,0.0,100.0,1
CAN,2020,Electrolyser,0.0,100.0,0
CAN,2020,GT,0.0,100.0,1
CAN,2020,H2_CCGT,0.0,100.0,0
CAN,2020,H2_FC,0.0,100.0,0
CAN,2020,H2_storage,0.0,50.0,0
