nodesData,years,converter_techs,unitsUpperLimit
TRN,2030,pv_central_fixed,155.54731
TRN,2030,pv_central_track_azimuth,155.54731
TRN,2030,pv_decentral,0.26493
TRN,2030,wind_offshore_floating,70.73452999999999
TRN,2030,wind_offshore_foundation,8.922930000000001
TRN,2030,wind_onshore,6.6179499999999996
TRN,2035,Battery,50.0
TRN,2035,pv_central_fixed,155.54731
TRN,2035,pv_central_track_azimuth,155.54731
TRN,2035,pv_decentral,0.26493
TRN,2035,wind_offshore_floating,70.73452999999999
TRN,2035,wind_offshore_foundation,8.922930000000001
TRN,2035,wind_onshore,6.6179499999999996
TRN,2040,Battery,50.0
TRN,2040,pv_central_fixed,155.54731
TRN,2040,pv_central_track_azimuth,155.54731
TRN,2040,pv_decentral,0.26493
TRN,2040,wind_offshore_floating,70.73452999999999
TRN,2040,wind_offshore_foundation,8.922930000000001
TRN,2040,wind_onshore,6.6179499999999996
TRN,2045,Battery,50.0
TRN,2045,pv_central_fixed,155.54731
TRN,2045,pv_central_track_azimuth,155.54731
TRN,2045,pv_decentral,0.26493
TRN,2045,wind_offshore_floating,70.73452999999999
TRN,2045,wind_offshore_foundation,8.922930000000001
TRN,2045,wind_onshore,6.6179499999999996
TRN,2050,Battery,50.0
TRN,2050,pv_central_fixed,155.54731
TRN,2050,pv_central_track_azimuth,155.54731
TRN,2050,pv_decentral,0.26493
TRN,2050,wind_offshore_floating,70.73452999999999
TRN,2050,wind_offshore_foundation,8.922930000000001
TRN,2050,wind_onshore,6.6179499999999996
WEL,2020,Battery,50.0
WEL,2020,pv_central_fixed,153.41646
WEL,2020,pv_central_track_azimuth,153.37588
WEL,2020,pv_decentral,0.73494
WEL,2020,wind_offshore_floating,14.853069999999999
WEL,2020,wind_offshore_foundation,0.6467200000000001
WEL,2020,wind_onshore,6.18409
WEL,2025,Battery,50.0
WEL,2025,pv_central_fixed,153.41646
WEL,2025,pv_central_track_azimuth,153.37588
WEL,2025,pv_decentral,0.73494
WEL,2025,wind_offshore_floating,14.853069999999999
WEL,2025,wind_offshore_foundation,0.6467200000000001
WEL,2025,wind_onshore,6.18409
WEL,2030,Battery,50.0
WEL,2030,pv_central_fixed,153.41646
WEL,2030,pv_central_track_azimuth,153.37588
WEL,2030,pv_decentral,0.73494
WEL,2030,wind_offshore_floating,14.853069999999999
WEL,2030,wind_offshore_foundation,0.6467200000000001
WEL,2030,wind_onshore,6.18409
WEL,2035,Battery,50.0
WEL,2035,pv_central_fixed,153.41646
WEL,2035,pv_central_track_azimuth,153.37588
WEL,2035,pv_decentral,0.73494
WEL,2035,wind_offshore_floating,14.853069999999999
WEL,2035,wind_offshore_foundation,0.6467200000000001
WEL,2035,wind_onshore,6.18409
WEL,2040,Battery,50.0
WEL,2040,pv_central_fixed,153.41646
WEL,2040,pv_central_track_azimuth,153.37588
WEL,2040,pv_decentral,0.73494
WEL,2040,wind_offshore_floating,14.853069999999999
WEL,2040,wind_offshore_foundation,0.6467200000000001
WEL,2040,wind_onshore,6.18409
WEL,2045,Battery,50.0
WEL,2045,pv_central_fixed,153.41646
WEL,2045,pv_central_track_azimuth,153.37588
WEL,2045,pv_decentral,0.73494
WEL,2045,wind_offshore_floating,14.853069999999999
WEL,2045,wind_offshore_foundation,0.6467200000000001
WEL,2045,wind_onshore,6.18409
WEL,2050,Battery,50.0
WEL,2050,pv_central_fixed,153.41646
WEL,2050,pv_central_track_azimuth,153.37588
WEL,2050,pv_decentral,0.73494
WEL,2050,wind_offshore_floating,14.853069999999999
WEL,2050,wind_offshore_foundation,0.6467200000000001
WEL,2050,wind_onshore,6.18409
WTO,2020,Battery,50.0
WTO,2020,pv_central_fixed,386.80890999999997
WTO,2020,pv_central_track_azimuth,386.80890999999997
WTO,2020,pv_decentral,0.8363700000000001
WTO,2020,wind_offshore_floating,14.69397
WTO,2020,wind_offshore_foundation,2.02853
WTO,2020,wind_onshore,15.00559
WTO,2025,Battery,50.0
WTO,2025,pv_central_fixed,386.80890999999997
WTO,2025,pv_central_track_azimuth,386.80890999999997
WTO,2025,pv_decentral,0.8363700000000001
WTO,2025,wind_offshore_floating,14.69397
WTO,2025,wind_offshore_foundation,2.02853
WTO,2025,wind_onshore,15.00559
WTO,2030,Battery,50.0
WTO,2030,pv_central_fixed,386.80890999999997
WTO,2030,pv_central_track_azimuth,386.80890999999997
WTO,2030,pv_decentral,0.8363700000000001
WTO,2030,wind_offshore_floating,14.69397
WTO,2030,wind_offshore_foundation,2.02853
WTO,2030,wind_onshore,15.00559
WTO,2035,Battery,50.0
WTO,2035,pv_central_fixed,386.80890999999997
WTO,2035,pv_central_track_azimuth,386.80890999999997
WTO,2035,pv_decentral,0.8363700000000001
WTO,2035,wind_offshore_floating,14.69397
WTO,2035,wind_offshore_foundation,2.02853
WTO,2035,wind_onshore,15.00559
WTO,2040,Battery,50.0
WTO,2040,pv_central_fixed,386.80890999999997
WTO,2040,pv_central_track_azimuth,386.80890999999997
WTO,2040,pv_decentral,0.8363700000000001
WTO,2040,wind_offshore_floating,14.69397
WTO,2040,wind_offshore_foundation,2.02853
WTO,2040,wind_onshore,15.00559
WTO,2045,Battery,50.0
WTO,2045,pv_central_fixed,386.80890999999997
WTO,2045,pv_central_track_azimuth,386.80890999999997
WTO,2045,pv_decentral,0.8363700000000001
WTO,2045,wind_offshore_floating,14.69397
WTO,2045,wind_offshore_foundation,2.02853
WTO,2045,wind_onshore,15.00559
WTO,2050,Battery,50.0
WTO,2050,pv_central_fixed,386.80890999999997
WTO,2050,pv_central_track_azimuth,386.80890999999997
WTO,2050,pv_decentral,0.8363700000000001
WTO,2050,wind_offshore_floating,14.69397
WTO,2050,wind_offshore_foundation,2.02853
WTO,2050,wind_onshore,15.00559
