,demand_R1,PV,WindOnshore,demand_R2,demand_R4,demand_R3
t0622,61186,0,13490,55067,42830,9177
t0623,58387,0,13771,52548,40870,8758
t0624,54197,0,14813,48777,37937,8129
t0625,50928,0,15412,45835,35649,7639
t0626,48931,0,15566,44037,34251,7339
t0627,48014,0,15593,43212,33609,7202
t0628,48329,0,15251,43496,33830,7249
t0629,49271,0,15239,44343,34489,7390
t0630,51925,0,15169,46732,36347,7788
t0631,59335,0,14988,53401,41534,8900
t0632,66175,0,15008,59557,46322,9926
t0633,68066,138,14314,61259,47646,10209
t0634,67553,1032,12860,60797,47287,10132
t0635,68274,2221,12578,61446,47791,10241
t0636,69323,3309,12248,62390,48526,10398
t0637,68822,3721,12240,61939,48175,10323
t0638,68250,3207,11682,61425,47775,10237
t0639,67640,2337,11543,60876,47348,10146
t0640,67050,1292,10540,60345,46935,10057
t0641,66142,291,9090,59527,46299,9921
t0642,68693,11,7886,61823,48085,10303
t0643,69501,0,7686,62550,48650,10425
t0644,67582,0,7423,60823,47307,10137
t0645,63622,0,6791,57259,44535,9543
t0646,60399,0,6547,54359,42279,9059
t0647,57896,0,6521,52106,40527,8684
t0648,53741,0,6160,48366,37618,8061
t0649,50302,0,6332,45271,35211,7545
t0650,47897,0,6113,43107,33527,7184
t0651,46744,0,6216,42069,32720,7011
t0652,46927,0,6694,42234,32848,7039
t0653,48376,0,7485,43538,33863,7256
t0654,51544,0,8528,46389,36080,7731
