year,2020,2030,2040,2050,2060,2070,2080,2090,2100
Countrynumber,135,135,135,135,135,135,135,135,135
Countryname,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand
annual electricity consumption in TWh,26.05,37.91,50.95,64.67,78.84,90.08,99.66,106.14,109.86
Hour_129 in MW,"2,944.32","4,051.26","5,866.96","7,454.90","9,088.72","10,245.42","11,334.27","12,247.54","12,677.74"
Hour_130 in MW,"3,003.55","4,098.92","5,977.82","7,595.92","9,260.64","10,450.20","11,560.82","12,496.86","12,935.83"
Hour_131 in MW,"3,005.98","4,054.71","5,977.36","7,596.04","9,260.80","10,458.60","11,570.11","12,514.82","12,954.41"
Hour_132 in MW,"2,967.97","3,949.11","5,897.55","7,495.85","9,138.65","10,327.14","11,424.68","12,367.93","12,802.37"
Hour_133 in MW,"2,914.43","3,826.67","5,787.13","7,357.21","8,969.62","10,141.98","11,219.84","12,157.66","12,584.70"
Hour_134 in MW,"2,871.17","3,733.01","5,696.58","7,244.18","8,831.82","9,992.39","11,054.35","11,989.08","12,410.20"
Hour_135 in MW,"2,857.20","3,701.72","5,663.10","7,203.95","8,782.77","9,944.07","11,000.90","11,939.56","12,358.95"
Hour_136 in MW,"2,879.14","3,744.86","5,699.61","7,252.91","8,842.47","10,019.90","11,084.78","12,035.97","12,458.75"
Hour_137 in MW,"2,929.21","3,849.47","5,790.95","7,371.84","8,987.45","10,193.05","11,276.34","12,246.65","12,676.82"
Hour_138 in MW,"2,987.53","3,981.23","5,898.20","7,511.29","9,157.47","10,394.70","11,499.42","12,490.41","12,929.14"
Hour_139 in MW,"3,027.81","4,094.09","5,969.98","7,606.05","9,273.00","10,533.98","11,653.50","12,660.15","13,104.84"
Hour_140 in MW,"3,089.79","4,228.18","6,065.19","7,727.10","9,420.58","10,706.79","11,844.68","12,868.35","13,320.36"
Hour_141 in MW,"3,131.59","4,319.14","6,109.54","7,781.65","9,487.07","10,785.08","11,931.29","12,964.25","13,419.63"
Hour_142 in MW,"3,009.53","4,173.75","5,863.36","7,473.78","9,111.74","10,363.27","11,464.65","12,470.86","12,908.91"
Hour_143 in MW,"2,738.85","3,813.19","5,356.31","6,841.10","8,340.40","9,493.71","10,502.67","11,449.81","11,851.99"
Hour_144 in MW,"2,490.20","3,467.65","4,880.66","6,246.16","7,615.07","8,674.82","9,596.75","10,487.34","10,855.72"
Hour_145 in MW,"2,322.70","3,224.23","4,545.05","5,825.41","7,102.11","8,095.59","8,955.96","9,805.92","10,150.36"
Hour_146 in MW,"2,206.15","3,053.20","4,308.99","5,531.17","6,743.38","7,692.54","8,510.08","9,331.12","9,658.88"
Hour_147 in MW,"2,164.61","2,993.60","4,219.57","5,423.13","6,611.66","7,548.87","8,351.14","9,160.93","9,482.72"
Hour_148 in MW,"2,206.63","3,059.57","4,112.02","5,522.51","6,732.83","7,694.14","8,511.85","9,330.14","9,657.87"
Hour_149 in MW,"2,323.14","3,367.24","4,337.70","5,806.82","7,079.44","8,097.03","8,957.56","9,801.81","10,146.10"
Hour_150 in MW,"2,489.78","3,612.76","4,660.34","6,215.55","7,577.76","8,673.27","9,595.04","10,476.63","10,844.63"
Hour_151 in MW,"2,672.96","3,882.23","5,007.49","6,665.33","8,126.10","9,306.72","10,295.81","11,217.73","11,611.76"
Hour_152 in MW,"2,838.14","4,125.39","5,305.19","7,070.37","8,619.92","9,877.92","10,927.72","11,884.35","12,301.79"
Hour_153 in MW,"2,958.12","4,302.63","5,496.39","7,363.15","8,976.87","10,292.79","11,386.68","12,365.63","12,799.98"
Hour_154 in MW,"3,019.17","4,393.98","5,554.59","7,509.61","9,155.42","10,503.91","11,620.24","12,605.70","13,048.49"
Hour_155 in MW,"3,023.53","4,402.66","5,489.19","7,515.27","9,162.33","10,518.99","11,636.91","12,613.64","13,056.70"
Hour_156 in MW,"2,987.54","4,352.43","5,341.18","7,420.68","9,047.00","10,394.50","11,499.19","12,455.99","12,893.52"
Hour_157 in MW,"2,936.09","4,279.52","5,170.47","7,287.65","8,884.82","10,216.57","11,302.36","12,234.25","12,663.99"
Hour_158 in MW,"2,894.99","4,221.47","5,038.39","7,180.22","8,753.84","10,074.41","11,145.09","12,053.54","12,476.93"
Hour_159 in MW,"2,883.22","4,205.88","4,990.15","7,145.54","8,711.56","10,033.71","11,100.06","11,991.28","12,412.48"
Hour_160 in MW,"2,907.39","4,242.37","5,041.95","7,199.97","8,777.92","10,117.27","11,192.50","12,074.36","12,498.48"
Hour_161 in MW,"2,959.72","4,319.62","5,176.42","7,324.23","8,929.42","10,298.22","11,392.69","12,271.18","12,702.22"
Hour_162 in MW,"3,020.30","4,408.64","5,347.41","7,468.88","9,105.76","10,507.69","11,624.42","12,500.63","12,939.72"
Hour_163 in MW,"3,062.83","4,471.17","5,493.06","7,568.63","9,227.38","10,654.76","11,787.11","12,655.62","13,100.16"
Hour_164 in MW,"3,116.40","4,541.60","5,642.78","7,671.96","9,353.35","10,804.34","11,952.59","12,812.33","13,262.38"
Hour_165 in MW,"3,159.64","4,589.66","5,746.85","7,728.24","9,421.97","10,886.19","12,043.14","12,888.11","13,340.81"
Hour_166 in MW,"3,045.85","4,423.21","5,555.89","7,437.20","9,067.14","10,488.95","11,603.68","12,399.31","12,834.85"
Hour_167 in MW,"2,781.57","4,052.96","5,083.87","6,818.60","8,312.97","9,640.53","10,665.10","11,378.96","11,778.65"
Hour_168 in MW,"2,535.84","3,704.17","4,622.37","6,230.05","7,595.43","8,832.33","9,771.01","10,405.14","10,770.63"
Hour_169 in MW,"2,370.24","3,462.51","4,289.91","5,812.66","7,086.56","8,259.64","9,137.45","9,707.83","10,048.83"
Hour_170 in MW,"2,255.47","3,294.63","4,054.95","5,521.41","6,731.49","7,862.74","8,698.37","9,217.21","9,540.97"
Hour_171 in MW,"2,215.58","3,235.52","3,970.01","5,416.02","6,602.99","7,724.79","8,545.75","9,031.30","9,348.54"
Hour_172 in MW,"2,259.11","3,297.62","4,054.08","5,287.33","6,446.10","7,875.29","8,712.26","9,184.99","9,507.62"
Hour_173 in MW,"2,376.98","3,467.73","4,287.89","5,581.23","6,804.41","8,282.89","9,163.17","9,641.39","9,980.05"
Hour_174 in MW,"2,544.82","3,710.41","4,618.83","5,997.81","7,312.29","8,863.28","9,805.25","10,301.27","10,663.11"
Hour_175 in MW,"2,729.03","3,976.77","4,974.41","6,445.08","7,857.59","9,500.27","10,509.93","11,027.83","11,415.19"
Hour_176 in MW,"2,895.05","4,216.55","5,280.64","6,829.14","8,325.82","10,074.37","11,145.04","11,680.38","12,090.66"
Hour_177 in MW,"3,015.67","4,390.16","5,480.41","7,077.55","8,628.67","10,491.47","11,606.47","12,148.11","12,574.83"
Hour_178 in MW,"3,077.16","4,477.66","5,547.22","7,156.66","8,725.12","10,704.11","11,841.71","12,375.24","12,809.93"
Hour_179 in MW,"3,081.75","4,482.30","5,490.43","7,078.37","8,629.67","10,719.98","11,859.26","12,370.87","12,805.41"
Hour_180 in MW,"3,045.77","4,427.86","5,350.97","6,894.66","8,405.69","10,595.53","11,721.59","12,201.65","12,630.24"
Hour_181 in MW,"2,994.11","4,350.58","5,188.74","6,681.54","8,145.87","10,416.86","11,523.94","11,969.09","12,389.52"
Hour_182 in MW,"2,952.56","4,288.01","5,065.02","6,516.84","7,945.07","10,273.18","11,364.99","11,778.40","12,192.12"
Hour_183 in MW,"2,940.13","4,267.82","5,024.99","6,457.90","7,873.21","10,230.15","11,317.39","11,707.01","12,118.23"
Hour_184 in MW,"2,963.39","4,299.61","5,084.83","6,525.29","7,955.37","10,310.58","11,406.35","11,781.89","12,195.74"
Hour_185 in MW,"3,014.58","4,372.10","5,227.11","6,696.94","8,164.64","10,487.59","11,602.18","11,971.46","12,391.97"
Hour_186 in MW,"3,073.78","4,456.32","5,405.68","6,914.29","8,429.63","10,692.30","11,828.65","12,194.65","12,622.99"
Hour_187 in MW,"3,114.71","4,514.05","5,558.63","7,098.80","8,654.58","10,833.81","11,985.20","12,344.40","12,778.01"
Hour_188 in MW,"3,169.32","4,583.52","5,720.26","7,290.67","8,888.50","10,985.39","12,152.88","12,506.75","12,946.06"
Hour_189 in MW,"3,210.79","4,627.33","5,831.73","7,415.93","9,041.21","11,061.47","12,237.05","12,581.02","13,022.94"
Hour_190 in MW,"3,093.03","4,453.98","5,644.32","7,167.53","8,738.38","10,651.64","11,783.66","12,084.68","12,509.16"
Hour_191 in MW,"2,825.03","4,077.39","5,175.99","6,568.68","8,008.28","9,790.64","10,831.16","11,058.77","11,447.22"
Hour_192 in MW,"2,576.33","3,723.65","4,719.44","5,982.45","7,293.57","8,971.99","9,925.51","10,083.84","10,438.04"
Hour_193 in MW,"2,407.82","3,477.59","4,392.12","5,556.40","6,774.15","8,389.24","9,280.83","9,387.82","9,717.57"
Hour_194 in MW,"2,289.95","3,305.44","4,161.87","5,253.53","6,404.90","7,981.64","8,829.91","8,899.58","9,212.19"
Hour_195 in MW,"2,246.79","3,242.23","4,081.19","5,140.48","6,267.08","7,832.37","8,664.77","8,717.17","9,023.37"
Hour_196 in MW,"2,286.88","3,300.40","4,169.07","5,241.43","6,390.15","7,970.98","8,818.12","8,497.38","8,795.86"
Hour_197 in MW,"2,401.16","3,466.77","4,581.64","5,531.93","6,744.31","8,366.15","9,255.28","8,972.06","9,287.21"
Hour_198 in MW,"2,565.26","3,705.92","4,910.45","5,945.25","7,248.21","8,933.63","9,883.07","9,649.02","9,987.95"
Hour_199 in MW,"2,745.61","3,968.96","5,271.26","6,389.42","7,789.73","9,557.27","10,572.98","10,377.35","10,741.86"
Hour_200 in MW,"2,907.66","4,205.65","5,596.49","6,770.58","8,254.43","10,117.63","11,192.90","11,002.93","11,389.42"
Hour_201 in MW,"3,024.21","4,376.42","5,832.91","7,016.33","8,554.03","10,520.66","11,638.76","11,406.91","11,807.59"
