year,2020,2030,2040,2050,2060,2070,2080,2090,2100
Countrynumber,135,135,135,135,135,135,135,135,135
Countryname,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand
annual electricity consumption in TWh,26.05,37.91,50.95,64.67,78.84,90.08,99.66,106.14,109.86
Hour_8243 in MW,"3,070.45","4,467.08","5,470.80","7,053.96","8,599.91",,,"12,327.91","12,760.94"
Hour_8244 in MW,"3,034.39","4,412.52","5,331.19","6,870.05","8,375.70",,,"12,158.35","12,585.42"
Hour_8245 in MW,"2,982.64","4,335.12","5,168.80","6,656.74","8,115.64",,,"11,925.47","12,344.36"
Hour_8246 in MW,"2,941.01","4,272.44","5,044.93","6,491.85","7,914.61",,,"11,734.44","12,146.62"
Hour_8247 in MW,"2,928.49","4,252.13","5,004.74","6,432.71","7,842.51",,,"11,662.73","12,072.39"
Hour_8248 in MW,"2,951.67","4,283.80","5,064.42","6,499.91","7,924.43",,,"11,737.28","12,149.56"
Hour_8249 in MW,"3,002.78","4,356.17","5,206.56","6,671.36","8,133.46",,,"11,926.52","12,345.45"
Hour_8250 in MW,"3,061.90","4,440.28","5,384.97","6,888.52","8,398.21",,,"12,149.37","12,576.13"
Hour_8251 in MW,"3,104.39","4,500.06","5,540.53","7,076.25","8,627.09",,,"12,304.31","12,736.51"
Hour_8252 in MW,"3,183.02","4,601.68","5,743.42","7,319.35","8,923.47",,,"12,549.51","12,990.32"
Hour_8253 in MW,"3,224.43","4,646.27","5,856.57","7,447.09","9,079.20",,,"12,628.23","13,071.81"
Hour_8254 in MW,"3,092.25","4,453.95","5,645.04","7,168.91","8,740.05",,,"12,083.85","12,508.30"
Hour_8255 in MW,"2,814.69","4,063.89","5,158.91","6,547.65","7,982.63",,,"11,021.32","11,408.45"
Hour_8256 in MW,"2,563.94","3,706.90","4,697.80","5,955.52","7,260.73",,,"10,036.59","10,389.13"
Hour_8257 in MW,"2,395.34","3,460.72","4,370.32","5,529.28","6,741.07",,,"9,340.24","9,668.32"
Hour_8258 in MW,"2,277.40","3,288.46","4,139.92","5,226.21","6,371.58",,,"8,851.67","9,162.59"
Hour_8259 in MW,"2,234.15","3,225.13","4,059.08","5,112.97","6,233.53",,,"8,668.93","8,973.43"
Hour_8260 in MW,"2,274.15","3,283.18","4,146.81","5,213.72","6,356.36",,,"8,448.81","8,745.58"
Hour_8261 in MW,"2,388.35","3,449.44","4,559.23","5,504.02","6,710.29",,,"8,923.15","9,236.59"
Hour_8262 in MW,"2,552.37","3,688.46","4,887.88","5,917.14","7,213.95",,,"9,599.79","9,936.99"
Hour_8263 in MW,"2,732.63","3,951.39","5,248.53","6,361.12","7,755.23",,,"10,327.79","10,690.56"
Hour_8264 in MW,"2,894.60","4,187.97","5,573.61","6,742.09","8,219.69",,,"10,953.04","11,337.78"
Hour_8265 in MW,"3,011.07","4,358.62","5,809.88","6,987.64","8,519.06",,,"11,356.69","11,755.60"
Hour_8266 in MW,"3,068.33","4,443.41","5,930.50","7,064.15","8,612.33",,,"11,483.53","11,886.89"
Hour_8267 in MW,"3,068.63","4,445.60","5,939.84","6,983.55","8,514.06",,,"11,353.09","11,751.88"
Hour_8268 in MW,"3,028.31","4,388.95","5,869.83","6,797.85","8,287.67",,,"11,050.72","11,438.89"
Hour_8269 in MW,"2,972.28","4,309.74","5,769.18","6,583.09","8,025.84",,,"10,701.17","11,077.06"
Hour_8270 in MW,"2,926.36","4,245.51","5,688.37","6,417.12","7,823.50",,,"10,432.17","10,798.60"
Hour_8271 in MW,"2,909.55","4,223.92","5,664.54","6,357.30","7,750.57",,,"10,337.81","10,700.94"
Hour_8272 in MW,"2,928.47","4,254.58","5,710.60","6,424.23","7,832.16",,,"10,451.86","10,818.99"
Hour_8273 in MW,"2,975.36","4,326.20","5,811.37","6,595.85","8,041.39",,,"10,738.06","11,115.24"
Hour_8274 in MW,"3,030.32","4,409.81","5,927.90","6,813.61","8,306.89",,,"11,100.27","11,490.18"
Hour_8275 in MW,"3,067.34","4,467.51","6,009.20","6,999.53","8,533.54",,,"11,410.41","11,811.21"
Hour_8276 in MW,"3,131.78","4,555.40","6,123.83","7,222.24","8,805.06",,,"11,776.86","12,190.53"
Hour_8277 in MW,"3,169.82","4,600.53","6,177.43","7,351.96","8,963.22",,,"11,988.83","12,409.95"
Hour_8278 in MW,"3,040.23","4,417.01","5,933.74","7,089.41","8,643.13",,,"11,563.51","11,969.69"
Hour_8279 in MW,"2,763.07","4,033.26","5,430.47","6,480.54","7,900.81",,,"10,575.93","10,947.42"
Hour_8280 in MW,"2,509.69","3,678.41","4,961.62","5,894.21","7,185.99",,,"9,622.79","9,960.80"
Hour_8281 in MW,"2,337.83","3,433.28","4,633.63","5,471.93","6,671.16",,,"8,934.88","9,248.72"
Hour_8282 in MW,"2,216.82","3,262.23","4,404.88","5,173.29","6,307.07",,,"8,449.74","8,746.54"
Hour_8283 in MW,"2,170.70","3,200.27","4,322.44","5,064.94","6,174.98",,,"8,276.70","8,567.42"
Hour_8284 in MW,"2,208.05","3,259.83","4,403.03","5,171.04","6,304.33",,,"8,455.35","8,752.35"
Hour_8285 in MW,"2,319.82","3,427.71","4,628.94","5,689.76","6,936.73",,,"8,945.50","9,259.72"
Hour_8286 in MW,"2,481.64","3,668.45","4,952.52","6,102.74","7,440.22",,,"9,637.55","9,976.08"
Hour_8287 in MW,"2,659.95","3,933.17","5,308.08","6,556.93","7,993.95",,,"10,380.49","10,745.11"
Hour_8288 in MW,"2,820.21","4,171.61","5,628.07","6,966.58","8,493.38",,,"11,020.17","11,407.26"
Hour_8289 in MW,"2,935.23","4,344.16","5,859.29","7,264.15","8,856.17",,,"11,437.67","11,839.42"
Hour_8290 in MW,"2,991.31","4,430.87","5,974.93","7,415.61","9,040.81",,,"11,577.73","11,984.40"
Hour_8291 in MW,"2,990.69","4,434.96","5,979.37","7,426.47","9,054.06",,,"11,459.84","11,862.38"
Hour_8292 in MW,"2,949.71","4,380.22","5,904.59","7,337.30","8,945.34",,,"11,169.30","11,561.64"
Hour_8293 in MW,"2,893.30","4,302.86","5,799.32","7,209.90","8,790.03",,,"10,830.83","11,211.27"
Hour_8294 in MW,"2,847.26","4,240.42","5,714.05","7,108.34","8,666.20",,,"10,572.12","10,943.47"
Hour_8295 in MW,"2,830.60","4,220.54","5,685.95","7,079.74","8,631.34",,,"10,487.23","10,855.60"
Hour_8296 in MW,"2,849.94","4,252.82","5,727.97","7,140.50","8,705.41",,,"10,609.90","10,982.58"
Hour_8297 in MW,"2,897.51","4,325.94","5,824.92","7,271.31","8,864.89",,,"10,903.85","11,286.85"
Hour_8298 in MW,"2,953.41","4,410.92","5,937.88","7,422.73","9,049.50",,,"11,272.93","11,668.90"
Hour_8299 in MW,"2,992.49","4,471.00","6,017.34","7,531.84","9,182.52",,,"11,591.97","11,999.14"
Hour_8300 in MW,"3,065.76","4,569.88","6,141.71","7,693.82","9,380.00",,,"11,989.14","12,410.27"
Hour_8301 in MW,"3,105.19","4,615.78","6,192.64","7,761.35","9,462.34",,,"12,205.74","12,634.47"
Hour_8302 in MW,"2,972.96","4,426.98","5,938.93","7,448.70","9,081.16",,,"11,768.54","12,181.92"
Hour_8303 in MW,"2,695.03","4,039.65","5,428.15","6,815.52","8,309.22",,,"10,772.24","11,150.62"
Hour_8304 in MW,"2,443.37","3,684.16","4,956.19","6,229.20","7,594.39",,,"9,817.77","10,162.63"
Hour_8305 in MW,"2,274.02","3,439.09","4,626.72","5,820.05","7,095.58",,,"9,130.49","9,451.20"
Hour_8306 in MW,"2,155.69","3,267.89","4,396.82","5,537.23","6,750.77",,,"8,645.14","8,948.80"
Hour_8307 in MW,"2,112.42","3,205.54","4,313.53","5,440.41","6,632.74",,,"8,471.07","8,768.63"
Hour_8308 in MW,"2,059.99","3,264.46","4,393.60","5,550.79","6,767.30",,,"8,647.92","8,951.68"
Hour_8309 in MW,"2,177.99","3,431.48","4,619.29","5,845.83","7,127.01",,,"9,500.91","9,834.64"
Hour_8310 in MW,"2,345.62","3,671.12","4,942.96","6,265.03","7,638.07",,,"10,179.27","10,536.83"
Hour_8311 in MW,"2,525.83","3,934.50","5,298.90","6,724.96","8,198.80",,,"10,924.19","11,307.91"
Hour_8312 in MW,"2,680.79","4,171.36","5,619.55","7,139.84","8,704.61",,,"11,594.92","12,002.20"
Hour_8313 in MW,"2,781.32","4,342.11","5,851.70","7,442.11","9,073.12",,,"12,080.63","12,504.98"
Hour_8314 in MW,"2,813.85","4,426.78","5,968.53","7,597.70","9,262.82",,,"12,325.47","12,758.42"
Hour_8315 in MW,"2,783.18","4,428.63","5,974.40","7,612.12","9,280.39",,,"12,338.53","12,771.93"
Hour_8316 in MW,"2,710.25","4,371.43","5,901.26","7,525.89","9,175.27",,,"12,186.39","12,614.44"
Hour_8317 in MW,"2,625.66","4,291.42","5,797.83","7,400.82","9,022.79",,,"11,970.55","12,391.02"
Hour_8318 in MW,"2,560.76","4,226.14","5,714.58","7,300.94","8,901.02",,,"11,796.15","12,210.50"
Hour_8319 in MW,"2,538.64","4,203.25","5,688.66","7,273.39","8,867.42",,,"11,740.63","12,153.03"
Hour_8320 in MW,"2,567.58","4,232.35","5,732.98","7,334.51","8,941.95",,,"11,830.90","12,246.47"
Hour_8321 in MW,"2,638.67","4,302.15","5,832.34","7,465.04","9,101.08",,,"12,035.36","12,458.12"
Hour_8322 in MW,"2,728.32","4,383.69","5,947.79","7,615.51","9,284.52",,,"12,272.92","12,704.02"
Hour_8323 in MW,"2,806.11","4,440.37","6,029.98","7,723.22","9,415.84",,,"12,440.65","12,877.64"
Hour_8324 in MW,"2,917.69","4,536.50","6,158.07","7,884.33","9,612.27",,,"12,691.92","13,137.73"
Hour_8325 in MW,"2,988.85","4,578.65","6,211.54","7,948.89","9,690.98",,,"12,783.84","13,232.88"
Hour_8326 in MW,"2,879.07","4,385.55","5,959.68","7,631.77","9,304.36",,,"12,256.52","12,687.04"
Hour_8327 in MW,"2,614.19","3,994.07","5,450.91","6,993.76","8,526.51",,,"11,209.10","11,602.83"
Hour_8328 in MW,"2,367.82","3,634.71","4,981.26","6,402.43","7,805.59",,,"10,236.39","10,595.95"
Hour_8329 in MW,"2,198.92","3,385.87","4,654.10","5,987.83","7,300.13",,,"9,550.65","9,886.12"
Hour_8330 in MW,"2,079.68","3,210.93","4,426.37","5,698.97","6,947.96",,,"9,072.08","9,390.74"
Hour_8331 in MW,"2,036.92","3,144.91","4,345.11","5,595.57","6,821.90",,,"8,898.71","9,211.28"
Hour_8332 in MW,"2,080.37","3,065.23","4,427.01","5,698.83","6,947.78",,,"9,065.40","9,383.83"
Hour_8333 in MW,"2,200.15","3,233.28","4,654.35","5,986.25","7,298.21",,,"9,535.26","9,870.19"
Hour_8334 in MW,"2,369.38","3,473.29","4,979.42","6,397.36","7,799.41",,,"10,209.05","10,567.65"
Hour_8335 in MW,"2,550.99","3,731.36","5,336.53","6,848.77","8,349.75",,,"10,949.93","11,334.55"
Hour_8336 in MW,"2,707.15","3,952.46","5,658.08","7,254.74","8,844.69",,,"11,617.20","12,025.26"
Hour_8337 in MW,"2,808.69","4,094.17","5,890.84","7,547.73","9,201.89",,,"12,100.03","12,525.06"
Hour_8338 in MW,"2,842.04","4,136.77","6,007.99","7,693.72","9,379.88",,,"12,342.61","12,776.15"
Hour_8339 in MW,"2,811.99","4,087.27","6,013.85","7,698.26","9,385.42",,,"12,354.01","12,787.96"
Hour_8340 in MW,"2,739.49","3,976.15","5,940.38","7,601.91","9,267.95",,,"12,200.84","12,629.41"
Hour_8341 in MW,"2,655.15","3,847.98","5,836.29","7,466.53","9,102.90",,,"11,984.61","12,405.57"
Hour_8342 in MW,"2,590.32","3,748.41","5,752.02","7,356.19","8,968.37",,,"11,810.44","12,225.29"
Hour_8343 in MW,"2,568.09","3,711.06","5,724.74","7,318.05","8,921.88",,,"11,755.77","12,168.71"
Hour_8344 in MW,"2,596.75","3,748.00","5,767.33","7,368.54","8,983.44",,,"11,847.51","12,263.66"
Hour_8345 in MW,"2,667.41","3,846.31","5,864.61","7,488.41","9,129.58",,,"12,054.04","12,477.45"
Hour_8346 in MW,"2,756.47","3,971.67","5,977.62","7,628.25","9,300.06",,,"12,294.24","12,726.08"
Hour_8347 in MW,"2,832.36","4,078.14","6,055.04","7,722.94","9,415.50",,,"12,461.21","12,898.92"
Hour_8348 in MW,"2,931.34","4,209.01","6,159.75","7,848.47","9,568.55",,,"12,675.54","13,120.78"
Hour_8349 in MW,"3,001.86","4,293.64","6,209.43","7,902.16","9,634.00",,,"12,770.52","13,219.09"
Hour_8350 in MW,"2,898.11","4,139.93","5,965.65","7,589.65","9,253.01",,,"12,271.62","12,702.67"
Hour_8351 in MW,"2,636.63","3,771.60","5,461.27","6,952.52","8,476.24",,,"11,246.86","11,641.91"
Hour_8352 in MW,"2,389.94","3,419.38","4,989.25","6,354.32","7,746.93",,,"10,284.14","10,645.37"
Hour_8353 in MW,"2,219.73","3,169.71","4,657.34","5,930.44","7,230.16",,,"9,604.22","9,941.58"
Hour_8354 in MW,"2,099.12","2,992.54","4,424.58","5,632.67","6,867.13",,,"9,131.76","9,452.53"
Hour_8355 in MW,"2,054.95","2,926.95","4,338.04","5,520.72","6,730.65",,,"8,964.76","9,279.65"
Hour_8356 in MW,"2,096.96","2,987.10","4,414.43","5,615.86","6,846.63",,,"9,137.99","9,458.97"
Hour_8357 in MW,"2,304.99","3,158.65","4,636.03","5,895.60","7,187.68",,,"9,614.53","9,952.25"
Hour_8358 in MW,"2,470.21","3,402.48","4,955.19","6,299.50","7,680.10",,,"10,295.08","10,656.70"
Hour_8359 in MW,"2,651.85","3,664.68","5,306.21","6,744.19","8,222.25",,,"11,042.74","11,430.63"
Hour_8360 in MW,"2,815.36","3,890.21","5,621.55","7,143.95","8,709.62",,,"11,716.76","12,128.32"
Hour_8361 in MW,"2,933.55","4,036.62","5,847.99","7,431.27","9,059.91",,,"12,206.26","12,635.01"
Hour_8362 in MW,"2,992.70","4,084.19","5,958.74","7,572.14","9,231.65",,,"12,455.33","12,892.84"
Hour_8363 in MW,"2,995.07","4,039.89","5,958.16","7,572.11","9,231.62",,,"12,473.04","12,911.16"
Hour_8364 in MW,"2,957.00","3,934.21","5,878.23","7,471.78","9,109.30",,,"12,325.90","12,758.86"
Hour_8365 in MW,"2,903.39","3,811.68","5,767.69","7,332.98","8,940.08",,,"12,115.37","12,540.94"
Hour_8366 in MW,"2,860.07","3,717.92","5,677.03","7,219.81","8,802.10",,,"11,946.54","12,366.17"
Hour_8367 in MW,"2,846.04","3,686.54","5,643.43","7,179.42","8,752.87",,,"11,896.78","12,314.66"
Hour_8368 in MW,"2,867.91","3,729.59","5,679.82","7,228.25","8,812.39",,,"11,992.94","12,414.20"
Hour_8369 in MW,"2,917.92","3,834.12","5,771.05","7,347.02","8,957.20",,,"12,203.36","12,632.01"
Hour_8370 in MW,"2,976.18","3,965.79","5,878.18","7,486.33","9,127.03",,,"12,446.87","12,884.08"
Hour_8371 in MW,"3,016.75","4,079.03","5,950.43","7,581.68","9,243.28",,,"12,617.55","13,060.75"
Hour_8372 in MW,"3,086.10","4,222.97","6,058.29","7,718.41","9,409.99",,,"12,851.11","13,302.52"
Hour_8373 in MW,"3,127.88","4,314.16","6,103.14","7,773.70","9,477.39",,,"12,948.34","13,403.16"
Hour_8374 in MW,"3,001.41","4,162.97","5,849.58","7,456.72","9,090.94",,,"12,440.25","12,877.22"
Hour_8375 in MW,"2,727.78","3,798.25","5,337.04","6,817.14","8,311.18",,,"11,407.90","11,808.62"
Hour_8376 in MW,"2,478.47","3,451.67","4,859.93","6,220.31","7,583.55",,,"10,442.30","10,809.10"
Hour_8377 in MW,"2,310.91","3,208.17","4,524.20","5,799.41","7,070.42",,,"9,760.62","10,103.47"
Hour_8378 in MW,"2,194.29","3,037.05","4,288.03","5,505.02","6,711.50",,,"9,285.58","9,611.74"
Hour_8379 in MW,"2,152.69","2,977.36","4,198.49","5,396.83","6,579.61",,,"9,115.14","9,435.32"
Hour_8380 in MW,"2,194.64","3,043.24","4,090.82","5,496.07","6,700.59",,,"9,284.10","9,610.21"
Hour_8381 in MW,"2,311.08","3,350.82","4,316.38","5,780.23","7,047.03",,,"9,755.51","10,098.18"
Hour_8382 in MW,"2,477.66","3,596.25","4,638.91","6,188.82","7,545.16",,,"10,430.08","10,796.45"
Hour_8383 in MW,"2,660.78","3,865.63","4,985.94","6,638.44","8,093.32",,,"11,170.93","11,563.32"
Hour_8384 in MW,"2,825.90","4,108.70","5,283.53","7,043.34","8,586.96",,,"11,837.30","12,253.10"
Hour_8385 in MW,"2,945.81","4,285.85","5,474.60","7,335.97","8,943.73",,,"12,318.34","12,751.03"
Hour_8386 in MW,"3,006.80","4,377.11","5,532.68","7,482.28","9,122.11",,,"12,558.16","12,999.27"
Hour_8387 in MW,"3,011.10","4,385.70","5,467.17","7,487.80","9,128.83",,,"12,565.84","13,007.22"
Hour_8388 in MW,"2,975.04","4,335.39","5,319.04","7,393.06","9,013.32",,,"12,407.94","12,843.78"
Hour_8389 in MW,"2,923.53","4,262.39","5,148.22","7,259.88","8,850.96",,,"12,185.95","12,613.99"
Hour_8390 in MW,"2,882.36","4,204.24","5,016.02","7,152.30","8,719.81",,,"12,004.99","12,426.68"
Hour_8391 in MW,"2,870.53","4,188.57","4,967.66","7,117.47","8,677.34",,,"11,942.48","12,361.97"
Hour_8392 in MW,"2,894.64","4,224.97","5,019.34","7,171.76","8,743.52",,,"12,025.31","12,447.71"
Hour_8393 in MW,"2,946.91","4,302.13","5,153.70","7,295.87","8,894.84",,,"12,221.89","12,651.19"
Hour_8394 in MW,"3,007.42","4,391.06","5,324.57","7,440.37","9,071.00",,,"12,451.08","12,888.43"
Hour_8395 in MW,"3,050.76","4,454.65","5,471.56","7,541.78","9,194.65",,,"12,608.73","13,051.62"
Hour_8396 in MW,"3,126.75","4,555.04","5,659.70","7,692.78","9,378.73",,,"12,842.53","13,293.63"
Hour_8397 in MW,"3,170.57","4,604.69","5,766.43","7,752.75","9,451.84",,,"12,924.67","13,378.66"
Hour_8398 in MW,"3,043.54","4,420.85","5,553.40","7,434.46","9,063.80",,,"12,391.95","12,827.23"
Hour_8399 in MW,"2,770.26","4,037.94","5,064.66","6,794.82","8,283.97",,,"11,337.23","11,735.46"
Hour_8400 in MW,"2,522.59","3,686.06","4,598.82","6,200.66","7,559.60",,,"10,354.09","10,717.79"
Hour_8401 in MW,"2,356.92","3,444.31","4,266.25","5,783.11","7,050.55",,,"9,656.54","9,995.73"
Hour_8402 in MW,"2,242.08","3,276.34","4,031.17","5,491.72","6,695.29",,,"9,165.66","9,487.61"
Hour_8403 in MW,"2,202.13","3,217.14","3,946.11","5,386.18","6,566.62",,,"8,979.51","9,294.92"
Hour_8404 in MW,"2,245.60","3,279.15","4,030.07","5,257.35","6,409.55",,,"9,132.94","9,453.74"
Hour_8405 in MW,"2,363.40","3,449.18","4,263.76","5,551.10","6,767.68",,,"9,589.09","9,925.91"
Hour_8406 in MW,"2,531.18","3,691.76","4,594.59","5,967.53","7,275.38",,,"10,248.72","10,608.72"
Hour_8407 in MW,"2,715.32","3,958.03","4,950.05","6,414.66","7,820.49",,,"10,975.03","11,360.54"
Hour_8408 in MW,"2,881.28","4,197.72","5,256.15","6,798.57","8,288.55",,,"11,627.33","12,035.75"
Hour_8409 in MW,"3,001.84","4,371.25","5,455.81","7,046.83","8,591.22",,,"12,094.82","12,519.66"
Hour_8410 in MW,"3,063.27","4,458.66","5,522.51","7,125.79","8,687.49",,,"12,321.69","12,754.50"
Hour_8411 in MW,"3,067.80","4,463.21","5,465.59","7,047.35","8,591.85",,,"12,317.08","12,749.72"
Hour_8412 in MW,"3,031.75","4,408.68","5,326.02","6,863.49","8,367.70",,,"12,147.60","12,574.29"
Hour_8413 in MW,"2,980.03","4,331.31","5,163.67","6,650.23","8,107.70",,,"11,914.80","12,333.31"
Hour_8414 in MW,"2,938.42","4,268.65","5,039.84","6,485.38","7,906.72",,,"11,723.85","12,135.66"
Hour_8415 in MW,"2,925.92","4,248.37","4,999.69","6,426.30","7,834.69",,,"11,652.22","12,061.51"
Hour_8416 in MW,"2,949.11","4,280.07","5,059.41","6,493.54","7,916.67",,,"11,726.85","12,138.76"
Hour_8417 in MW,"3,000.24","4,352.47","5,201.58","6,665.04","8,125.75",,,"11,916.17","12,334.73"
Hour_8418 in MW,"3,059.38","4,436.61","5,380.03","6,882.24","8,390.56",,,"12,139.10","12,565.50"
Hour_8419 in MW,"3,100.25","4,494.25","5,532.87","7,066.61","8,615.34",,,"12,288.62","12,720.27"
Hour_8420 in MW,"3,162.55","4,573.98","5,707.63","7,274.77","8,869.12",,,"12,477.29","12,915.56"
Hour_8421 in MW,"3,204.43","4,618.60","5,820.37","7,401.73","9,023.90",,,"12,554.44","12,995.42"
Hour_8422 in MW,"3,082.16","4,439.34","5,625.45","7,144.08","8,709.78",,,"12,043.18","12,466.21"
Hour_8423 in MW,"2,810.99","4,058.30","5,151.25","6,537.84","7,970.67",,,"11,005.19","11,391.75"
Hour_8424 in MW,"2,561.55","3,703.40","4,693.08","5,949.53","7,253.43",,,"10,026.80","10,379.00"
Hour_8425 in MW,"2,392.98","3,457.25","4,365.64","5,523.33","6,733.83",,,"9,330.53","9,658.27"
Hour_8426 in MW,"2,275.05","3,285.02","4,135.28","5,220.31","6,364.39",,,"8,842.04","9,152.63"
Hour_8427 in MW,"2,231.82","3,221.72","4,054.48","5,107.12","6,226.39",,,"8,659.38","8,963.55"
Hour_8428 in MW,"2,271.85","3,279.80","4,142.25","5,207.92","6,349.29",,,"8,439.34","8,735.78"
Hour_8429 in MW,"2,386.06","3,446.08","4,554.70","5,498.27","6,703.27",,,"8,913.77","9,226.87"
Hour_8430 in MW,"2,550.10","3,685.14","4,883.39","5,911.44","7,206.99",,,"9,590.49","9,927.36"
Hour_8431 in MW,"2,730.39","3,948.09","5,244.08","6,355.46","7,748.33",,,"10,318.56","10,681.01"
Hour_8432 in MW,"2,892.37","4,184.70","5,569.20","6,736.48","8,212.85",,,"10,943.90","11,328.31"
Hour_8433 in MW,"3,008.86","4,355.38","5,805.50","6,982.08","8,512.27",,,"11,347.63","11,746.22"
Hour_8434 in MW,"3,066.15","4,440.20","5,926.17","7,058.63","8,605.61",,,"11,474.55","11,877.60"
Hour_8435 in MW,"3,066.47","4,442.41","5,935.54","6,978.08","8,507.40",,,"11,344.19","11,742.67"
Hour_8436 in MW,"3,026.16","4,385.80","5,865.56","6,792.42","8,281.05",,,"11,041.90","11,429.76"
Hour_8437 in MW,"2,970.16","4,306.62","5,764.96","6,577.71","8,019.29",,,"10,692.43","11,068.01"
Hour_8438 in MW,"2,924.25","4,242.42","5,684.18","6,411.79","7,817.00",,,"10,423.51","10,789.64"
Hour_8439 in MW,"2,907.47","4,220.85","5,660.39","6,352.02","7,744.13",,,"10,329.24","10,692.06"
Hour_8440 in MW,"2,926.40","4,251.54","5,706.49","6,418.99","7,825.79",,,"10,443.36","10,810.19"
Hour_8441 in MW,"2,973.32","4,323.19","5,807.30","6,590.66","8,035.07",,,"10,729.64","11,106.53"
Hour_8442 in MW,"3,028.30","4,406.83","5,923.87","6,808.47","8,300.62",,,"11,091.94","11,481.55"
Hour_8443 in MW,"3,065.12","4,464.26","6,004.83","6,993.97","8,526.77",,,"11,401.41","11,801.89"
Hour_8444 in MW,"3,125.02","4,546.10","6,111.69","7,207.04","8,786.53",,,"11,752.25","12,165.06"
Hour_8445 in MW,"3,163.07","4,591.07","6,164.95","7,336.27","8,944.09",,,"11,963.36","12,383.58"
Hour_8446 in MW,"3,036.16","4,411.07","5,925.75","7,079.26","8,630.76",,,"11,546.98","11,952.57"
Hour_8447 in MW,"2,760.79","4,029.83","5,425.80","6,474.57","7,893.54",,,"10,566.23","10,937.37"
Hour_8448 in MW,"2,507.79","3,675.60","4,957.81","5,889.36","7,180.08",,,"9,614.94","9,952.67"
Hour_8449 in MW,"2,335.96","3,430.50","4,629.86","5,467.12","6,665.30",,,"8,927.10","9,240.68"
Hour_8450 in MW,"2,214.96","3,259.48","4,401.15","5,168.53","6,301.27",,,"8,442.04","8,738.58"
Hour_8451 in MW,"2,168.87","3,197.55","4,318.75","5,060.23","6,169.23",,,"8,269.09","8,559.55"
Hour_8452 in MW,"2,206.24","3,257.13","4,399.38","5,166.38","6,298.65",,,"8,447.82","8,744.56"
Hour_8453 in MW,"2,318.02","3,425.04","4,625.32","5,685.15","6,931.11",,,"8,938.06","9,252.01"
Hour_8454 in MW,"2,479.87","3,665.81","4,948.94","6,098.17","7,434.65",,,"9,630.18","9,968.45"
Hour_8455 in MW,"2,658.20","3,930.57","5,304.54","6,552.41","7,988.44",,,"10,373.20","10,737.57"
Hour_8456 in MW,"2,818.48","4,169.03","5,624.56","6,962.11","8,487.93",,,"11,012.96","11,399.80"
Hour_8457 in MW,"2,933.52","4,341.61","5,855.82","7,259.73","8,850.77",,,"11,430.54","11,832.05"
Hour_8458 in MW,"2,989.62","4,428.34","5,971.50","7,411.23","9,035.48",,,"11,570.68","11,977.11"
Hour_8459 in MW,"2,989.01","4,432.47","5,975.98","7,422.14","9,048.78",,,"11,452.88","11,855.17"
Hour_8460 in MW,"2,948.06","4,377.75","5,901.24","7,333.01","8,940.12",,,"11,162.42","11,554.51"
Hour_8461 in MW,"2,891.66","4,300.42","5,796.00","7,205.67","8,784.87",,,"10,824.03","11,204.23"
Hour_8462 in MW,"2,845.65","4,238.01","5,710.77","7,104.15","8,661.10",,,"10,565.39","10,936.51"
Hour_8463 in MW,"2,829.01","4,218.16","5,682.71","7,075.60","8,626.30",,,"10,480.59","10,848.73"
Hour_8464 in MW,"2,848.37","4,250.47","5,724.76","7,136.40","8,700.42",,,"10,603.33","10,975.79"
Hour_8465 in MW,"2,895.96","4,323.62","5,821.75","7,267.26","8,859.96",,,"10,897.36","11,280.14"
Hour_8466 in MW,"2,951.88","4,408.63","5,934.75","7,418.74","9,044.63",,,"11,266.52","11,662.27"
Hour_8467 in MW,"2,990.39","4,467.95","6,013.25","7,526.66","9,176.20",,,"11,583.66","11,990.54"
Hour_8468 in MW,"3,059.33","4,561.02","6,130.16","7,679.35","9,362.37",,,"11,965.81","12,386.12"
Hour_8469 in MW,"3,098.99","4,607.08","6,181.17","7,746.93","9,444.75",,,"12,182.39","12,610.31"
Hour_8470 in MW,"2,969.47","4,421.86","5,932.02","7,439.90","9,070.44",,,"11,754.28","12,167.16"
Hour_8471 in MW,"2,693.26","4,036.96","5,424.45","6,810.78","8,303.43",,,"10,764.59","11,142.71"
Hour_8472 in MW,"2,441.97","3,682.03","4,953.29","6,225.49","7,589.87",,,"9,811.86","10,156.51"
Hour_8473 in MW,"2,272.64","3,437.00","4,623.86","5,816.39","7,091.11",,,"9,124.65","9,445.16"
Hour_8474 in MW,"2,154.32","3,265.82","4,393.99","5,533.61","6,746.36",,,"8,639.38","8,942.85"
Hour_8475 in MW,"2,111.08","3,203.50","4,310.75","5,436.85","6,628.39",,,"8,465.40","8,762.75"
Hour_8476 in MW,"2,058.66","3,262.46","4,390.85","5,547.27","6,763.01",,,"8,642.32","8,945.89"
Hour_8477 in MW,"2,176.68","3,429.50","4,616.58","5,842.36","7,122.77",,,"9,495.40","9,828.93"
Hour_8478 in MW,"2,344.33","3,669.17","4,940.29","6,261.60","7,633.90",,,"10,173.84","10,531.20"
Hour_8479 in MW,"2,524.57","3,932.58","5,296.27","6,721.58","8,194.68",,,"10,918.84","11,302.37"
Hour_8480 in MW,"2,679.55","4,169.47","5,616.96","7,136.51","8,700.55",,,"11,589.65","11,996.74"
