,Date,Hour,AKL,BOP,CAN,CEN,HBY,NEL,NIS,OTG,TRN,WEL,WTO,timestamp
4705,16/07/20,2,0.7848545,0.2970115,0.646223,0.1911405,0.1786445,0.1216885,0.1584625,0.9226155,0.0784565,0.290411,0.287172,t4706
4706,16/07/20,3,0.7611875,0.2919405,0.603505,0.18714,0.173735,0.117017,0.153826,0.9052455,0.0769365,0.276402,0.277491,t4707
4707,16/07/20,4,0.75094,0.2897795,0.5885185,0.184439,0.17294,0.115562,0.150731,0.899579,0.076295,0.274009,0.2756915,t4708
4708,16/07/20,5,0.7675695,0.2921605,0.597535,0.18882,0.1765995,0.1200585,0.1514305,0.9078365,0.079508,0.283344,0.2832575,t4709
4709,16/07/20,6,0.858736,0.308296,0.6614385,0.20455,0.192252,0.1350275,0.1687595,0.9389235,0.0881015,0.3206615,0.313148,t4710
4710,16/07/20,7,1.039101,0.336227,0.8156375,0.243227,0.227736,0.169545,0.212896,1.0084705,0.101975,0.4108925,0.3891625,t4711
4711,16/07/20,8,1.228146,0.373792,0.9420285,0.2911385,0.265459,0.2083825,0.261225,1.10771,0.114811,0.51538,0.4584665,t4712
4712,16/07/20,9,1.329466,0.3994685,0.9705565,0.316629,0.272469,0.217073,0.28949,1.139566,0.12639,0.5635765,0.4865545,t4713
4713,16/07/20,10,1.335578,0.4065345,0.9698155,0.3177105,0.282686,0.2164155,0.288896,1.1401215,0.13077,0.5594625,0.4980685,t4714
4714,16/07/20,11,1.331262,0.405764,0.9702675,0.314752,0.2860715,0.2156155,0.2781245,1.1292575,0.1295825,0.539997,0.503214,t4715
4715,16/07/20,12,1.3377235,0.3966755,0.9709625,0.306514,0.293502,0.2139215,0.263167,1.1113455,0.1296675,0.5288815,0.498102,t4716
4716,16/07/20,13,1.324214,0.3793325,0.9617005,0.298809,0.294254,0.2038805,0.255059,1.1009085,0.1262055,0.514491,0.488688,t4717
4717,16/07/20,14,1.275173,0.3726905,0.949031,0.2959215,0.2870135,0.199259,0.247238,1.087909,0.121976,0.501747,0.470967,t4718
4718,16/07/20,15,1.2149915,0.371066,0.8961965,0.291625,0.2859075,0.1959805,0.2434995,1.085373,0.1213865,0.4878465,0.46396,t4719
4719,16/07/20,16,1.21214,0.3771595,0.8833145,0.297109,0.2910425,0.194581,0.24825,1.077527,0.124414,0.4920525,0.4746555,t4720
4720,16/07/20,17,1.256834,0.393294,0.9292915,0.3151575,0.295551,0.2020325,0.268066,1.1006315,0.127816,0.5310615,0.491975,t4721
4721,16/07/20,18,1.365776,0.4182945,0.9828735,0.335835,0.27665,0.21767,0.3113575,1.156235,0.137968,0.60096,0.510973,t4722
4722,16/07/20,19,1.3828075,0.4181215,0.9919875,0.335049,0.264892,0.2175935,0.331772,1.162938,0.1386375,0.616183,0.506184,t4723
4723,16/07/20,20,1.344377,0.414068,0.984707,0.325028,0.255906,0.2127895,0.313863,1.1527395,0.12959,0.5990925,0.5009865,t4724
4724,16/07/20,21,1.268498,0.3964215,0.975236,0.3148385,0.275358,0.2041125,0.284494,1.135548,0.1202115,0.560973,0.4794565,t4725
4725,16/07/20,22,1.149095,0.3845495,0.9121685,0.282329,0.261507,0.194171,0.2531005,1.10553,0.1088955,0.5072645,0.444296,t4726
4726,16/07/20,23,1.0092965,0.366583,0.80945,0.246099,0.235816,0.1625315,0.211703,1.0332565,0.0933355,0.4229795,0.3832455,t4727
4727,16/07/20,24,0.8955345,0.323269,0.7558135,0.2201305,0.214098,0.145763,0.1781325,0.999507,0.0823715,0.3617885,0.334232,t4728
4728,17/07/20,1,0.812155,0.316967,0.6924535,0.2015085,0.201886,0.130572,0.155662,0.9570825,0.0773365,0.3108955,0.3031705,t4729
4729,17/07/20,2,0.7639625,0.301883,0.640075,0.191107,0.194268,0.121633,0.145142,0.929957,0.076962,0.28319,0.285852,t4730
4730,17/07/20,3,0.7426695,0.292387,0.597912,0.1858315,0.187978,0.1157945,0.1400045,0.914077,0.0740385,0.2692745,0.2776265,t4731
4731,17/07/20,4,0.7306105,0.291469,0.577485,0.1813085,0.185902,0.113823,0.1383465,0.910679,0.072757,0.265485,0.275166,t4732
4732,17/07/20,5,0.749693,0.294116,0.5863465,0.1845215,0.188674,0.1164715,0.142772,0.915099,0.074217,0.2735705,0.2812885,t4733
4733,17/07/20,6,0.839526,0.310843,0.6444935,0.2011145,0.2029675,0.127758,0.1611545,0.9452605,0.079784,0.3067575,0.312,t4734
